n_graphs	duration_sec	mean_fragmentation	std_fragmentation	mean_modularity	std_modularity	mean_clustering	mean_coupling	frag_early	frag_late	frag_trend	mod_early	mod_late	n_fragmentation_shifts	graph_autocorr	subject	condition
23	110.0	0.945398870876208	0.0414415650513308	0.620416336534569	0.2134843229018711	0.1115393833973559	0.1427949487628634	0.9258492935183144	0.9468888438990248	increasing	0.6963731978202423	0.5451724510166923	0	-0.4059916935378724	0000-ACAA	Task
20	95.0	0.9404654080385224	0.0356106990472849	0.5107384456852826	0.2668184617655269	0.1029881114233336	0.1245745315666178	0.9609728326190936	0.9255920626948148	stable	0.6776650439942115	0.4097745649541512	0	-0.10387464070337	0001-AGDJ	Task
24	115.0	0.9043317352403802	0.0734418076200175	0.5345431634076633	0.2514442079186685	0.1642712536419263	0.1955082088264168	0.940723750572645	0.8780639360667942	stable	0.5964432203079084	0.4590708545458439	1	0.1281119707591106	0002-AHEG	Task
20	95.0	0.92821401627191	0.0432438865615153	0.4904812684977971	0.1906647703650115	0.1332157753380791	0.1581806067600239	0.9063589215730732	0.94829802471755	increasing	0.3229484474481424	0.5983278116615605	0	1.0655412842449527e-05	0003-AZFR	Task
31	150.0	0.8577168227284859	0.0978288916055152	0.4856675070198548	0.2735253812702404	0.235255760013235	0.2710496713421013	0.8938020173295254	0.8537962404239706	stable	0.5944861597280202	0.4294059338430765	1	0.4324098757432331	0004-BDCD	Task
20	95.0	0.9299638069693812	0.0521008553725981	0.6340297785638436	0.2287446430788307	0.1551837183955067	0.2070309311413387	0.9240261606846468	0.9160800647486184	stable	0.5660085055222218	0.5131887125024804	0	-0.3927926792117914	0005-BQAB	Task
18	85.0	0.9482177513054072	0.047591619628578	0.5644054075999629	0.2894031105201246	0.0970408182045634	0.1223335158216689	0.9476461186449412	0.9307117256331642	stable	0.6081111789919965	0.4887717061475891	0	0.2566488724949908	0006-BRJG	Task
18	85.0	0.9517750332756004	0.045324767028948	0.5756208973869055	0.23940706584913	0.0889996742258485	0.1167223703512625	0.9679417258186808	0.9430466401736104	stable	0.5872500773738447	0.6275199350482504	0	-0.2055752170951822	0007-FKDN	Task
20	95.0	0.910933680299609	0.0988453543074748	0.520181647157975	0.2612052555315895	0.1589897433951747	0.2002775989538113	0.967169320584096	0.8856341543198919	stable	0.6303848041302308	0.4885255020609319	1	0.1481696116415754	0008-GCAF	Task
26	125.0	0.925670539118676	0.0592730706053148	0.6349355190191168	0.2956809072491274	0.1459321496508592	0.1962514743177842	0.9511628132009712	0.8968442007959906	stable	0.7774499514872277	0.4686537790593656	0	0.2723238237426028	0009-ILAB	Task
