n_graphs	duration_sec	mean_fragmentation	std_fragmentation	mean_modularity	std_modularity	mean_clustering	mean_coupling	frag_early	frag_late	frag_trend	mod_early	mod_late	n_fragmentation_shifts	graph_autocorr	subject	condition
1	10.000000000000000	0.929967707524470	0.000000000000000	0.464145213096691	0.000000000000000	0.144769905479236	0.165309918851004	0.929967707524470	0.929967707524470	stable	0.464145213096691	0.464145213096691	0	1.000000000000000	0000-ACAA	Stress
1	10.000000000000000	0.941589766375248	0.000000000000000	0.463378276046864	0.000000000000000	0.127748210020558	0.147281232966588	0.941589766375248	0.941589766375248	stable	0.463378276046864	0.463378276046864	0	1.000000000000000	0000-ACAA	Stress
1	10.000000000000000	0.993482366043427	0.000000000000000	0.659176318453829	0.000000000000000	0.037408654228419	0.062641638260900	0.993482366043427	0.993482366043427	stable	0.659176318453829	0.659176318453829	0	1.000000000000000	0000-ACAA	Stress
1	10.000000000000000	0.975620973620999	0.000000000000000	0.399191565327290	0.000000000000000	0.050039199136006	0.055925249400788	0.975620973620999	0.975620973620999	stable	0.399191565327290	0.399191565327290	0	1.000000000000000	0000-ACAA	Stress
1	10.000000000000000	0.946637639274438	0.000000000000000	0.755481506721533	0.000000000000000	0.098904893609306	0.129655071479613	0.946637639274438	0.946637639274438	stable	0.755481506721533	0.755481506721533	0	1.000000000000000	0000-ACAA	Stress
1	10.000000000000000	0.941121632475322	0.000000000000000	0.786338852467076	0.000000000000000	0.114429308993329	0.154068673467542	0.941121632475322	0.941121632475322	stable	0.786338852467076	0.786338852467076	0	1.000000000000000	0000-ACAA	Stress
1	10.000000000000000	0.964480408553543	0.000000000000000	0.934512420378866	0.000000000000000	0.102798397498828	0.166965514763633	0.964480408553543	0.964480408553543	stable	0.934512420378866	0.934512420378866	0	1.000000000000000	0000-ACAA	Stress
1	10.000000000000000	0.982174261030162	0.000000000000000	1.022237568374695	0.000000000000000	0.077497498219099	0.154139216558150	0.982174261030162	0.982174261030162	stable	1.022237568374695	1.022237568374695	0	1.000000000000000	0000-ACAA	Stress
1	10.000000000000000	0.938064170520551	0.000000000000000	0.713015649904062	0.000000000000000	0.114770467552760	0.146017257025387	0.938064170520551	0.938064170520551	stable	0.713015649904062	0.713015649904062	0	1.000000000000000	0000-ACAA	Stress
1	10.000000000000000	0.939679195000937	0.000000000000000	0.272252090192046	0.000000000000000	0.087538693471332	0.091079414956716	0.939679195000937	0.939679195000937	stable	0.272252090192046	0.272252090192046	0	1.000000000000000	0000-ACAA	Stress
